file_name,full_path,URL,extension,parent_folder,root_folder,size_bytes,size_mb,mime_type,created,last_modified,last_accessed,host,username,os,os_version,scan_timestamp,file_hash,is_duplicate,duplicate_of,artist,album,title,track_number,year,genre,length_seconds,bitrate,sample_rate,channels,responsible_party,subrole,notes,error
Paper Flag Parade.mp3,\EchoVerse_Music\Albums\4th 2025\Paper Flag Parade.mp3,https://aerocoreos.tail79107c.ts.net/echoverse/Albums/4th%202025/Paper%20Flag%20Parade.mp3,.mp3,4th 2025,Albums,3769612,3.59,audio/mpeg,2025-07-01T14:53:01.330000,2025-07-01T14:53:02,2025-07-08T20:01:50,Envy2-0,trcam,Windows,10.0.26100,2025-09-16T14:52:59.765475,539a5d9804ce6a698235e778aeb46ae8b53861c8d1a302c83fd30accd6b3b0be,FALSE,,aerovista,,Paper Flag Parade,,,,152,196902,48000,2,,,,
"Red, Lit & Rogue.mp3","\EchoVerse_Music\Albums\4th 2025\Red, Lit & Rogue.mp3",https://aerocoreos.tail79107c.ts.net/echoverse/Albums/4th%202025/Paper%20Flag%20Parade.mp3,.mp3,4th 2025,Albums,4132594,3.94,audio/mpeg,2025-07-01T14:50:11.150000,2025-07-01T14:50:12,2025-07-08T20:01:50,Envy2-0,trcam,Windows,10.0.26100,2025-09-16T14:52:59.765475,14a6fd8f16aa399532019b5a5a18ae0c4f117a20a753a218acce1c4e40c40e74,FALSE,,aerovista,,"Red, Lit & Rogue",,,,170,192134,48000,2,,,,
Star-Spangled Ghost.mp3,\EchoVerse_Music\Albums\4th 2025\Star-Spangled Ghost.mp3,https://aerocoreos.tail79107c.ts.net/echoverse/Albums/4th%202025/Paper%20Flag%20Parade.mp3,.mp3,4th 2025,Albums,4160135,3.97,audio/mpeg,2025-07-01T14:44:57.900000,2025-07-01T14:45:00,2025-07-08T20:01:52,Envy2-0,trcam,Windows,10.0.26100,2025-09-16T14:52:59.765475,74b6aaa8f308a1bbe99a88412492acb3e63608ed36bb8e67a001f3c7d9ae1bd5,FALSE,,aerovista,,Star-Spangled Ghost,,,,166,198984,48000,2,,,,
AeroVista (1).mp3,\EchoVerse_Music\Albums\AeroVista\AeroVista (1).mp3,https://aerocoreos.tail79107c.ts.net/echoverse/Albums/4th%202025/Paper%20Flag%20Parade.mp3,.mp3,AeroVista,Albums,2638618,2.52,audio/mpeg,2025-03-31T12:36:42.490000,2025-07-23T16:48:12,2025-07-23T16:48:12,Envy2-0,trcam,Windows,10.0.26100,2025-09-16T14:52:59.765475,c71d12fa608807b3dc29d2ad6f0fc0ae038b95a6e1901dde2873045b02d13844,FALSE,,AeroVista,,,,,,164,128000,44100,2,,,,
Clock Out Vibes.m4a,\EchoVerse_Music\Albums\Call Center Life\Clock Out Vibes.m4a,https://aerocoreos.tail79107c.ts.net/echoverse/Albums/4th%202025/Paper%20Flag%20Parade.mp3,.m4a,Call Center Life,Albums,2342507,2.23,audio/mp4,2025-02-12T01:31:44.020000,2025-07-23T16:48:08,2025-07-23T16:48:08,Envy2-0,trcam,Windows,10.0.26100,2025-09-16T14:52:59.765475,44514d9bc694d81d92f6fd6bf7e347df772271f8bf745197d1c70c6740d1ceee,FALSE,,AeroVista,,,,,,166,0,44100,2,,,,
Clocked Out.m4a,\EchoVerse_Music\Albums\Call Center Life\Clocked Out.m4a,https://aerocoreos.tail79107c.ts.net/echoverse/Albums/4th%202025/Paper%20Flag%20Parade.mp3,.m4a,Call Center Life,Albums,2433770,2.32,audio/mp4,2025-02-12T00:11:38.960000,2025-07-23T16:48:08,2025-07-23T16:48:08,Envy2-0,trcam,Windows,10.0.26100,2025-09-16T14:52:59.765475,2ad419703a2e72a3e15e6c3752e26074fc5d8b2d7dd0369f6dcf8035b2d4fe7b,FALSE,,AeroVista,,,,,,171,0,44100,2,,,,
CXP (3).mp3,\EchoVerse_Music\Albums\Call Center Life\CXP (3).mp3,https://aerocoreos.tail79107c.ts.net/echoverse/Albums/4th%202025/Paper%20Flag%20Parade.mp3,.mp3,Call Center Life,Albums,4001272,3.82,audio/mpeg,2025-07-17T21:57:14.650000,2025-07-17T21:54:02,2025-07-17T21:57:14,Envy2-0,trcam,Windows,10.0.26100,2025-09-16T14:52:59.765475,24e68609600144a99a966a75db806a2d06f51f21fbf3cb8a407a6da26cd89a34,FALSE,,aerovista,,CXP,,,,159,199603,48000,2,,,,
Duality.mp3,\EchoVerse_Music\Albums\Call Center Life\Duality.mp3,https://aerocoreos.tail79107c.ts.net/echoverse/Albums/4th%202025/Paper%20Flag%20Parade.mp3,.mp3,Call Center Life,Albums,3192414,3.04,audio/mpeg,2025-04-10T12:25:04.180000,2025-07-23T16:48:02,2025-07-23T16:48:02,Envy2-0,trcam,Windows,10.0.26100,2025-09-16T14:52:59.765475,3e7af95118450bb3fed861a4158c8508bfb6fcfcf46f5ea1a3b7c2179f91d024,FALSE,,AeroVista,,,,,,199,128000,44100,2,,,,
🌀  (1).mp3,\EchoVerse_Music\Albums\Call Center Life\🌀  (1).mp3,https://aerocoreos.tail79107c.ts.net/echoverse/Albums/4th%202025/Paper%20Flag%20Parade.mp3,.mp3,Call Center Life,Albums,4210221,4.02,audio/mpeg,2025-08-13T12:11:26.760000,2025-08-30T03:55:38,2025-08-30T03:59:00,Envy2-0,trcam,Windows,10.0.26100,2025-09-16T14:52:59.765475,a4e6b6eb4ef5d3ce4638f80fea25f688306e1145f9298eb2c2ff705e1f71c5bd,FALSE,,aerovista,,🌀 ,79,,,184,182392,48000,2,,,,
🌀 .mp3,\EchoVerse_Music\Albums\Call Center Life\🌀 .mp3,https://aerocoreos.tail79107c.ts.net/echoverse/Albums/4th%202025/Paper%20Flag%20Parade.mp3,.mp3,Call Center Life,Albums,3767783,3.59,audio/mpeg,2025-08-13T12:11:21.040000,2025-08-30T03:55:38,2025-08-30T03:59:02,Envy2-0,trcam,Windows,10.0.26100,2025-09-16T14:52:59.765475,203dcae37517170cdef7cd1482f5d43721ea7fd134fefe294160977309925d49,FALSE,,aerovista,,🌀 ,79,,,179,167676,48000,2,,,,
