bundle,relpath,filename,ext,size_bytes,sha1,fullpath
AeroCoreOS_Splash_Pack,aerocoreos_splash/assets/animated_logo.svg,animated_logo.svg,.svg,2860,4a9164419a1726a21df0acba0b22e45c70a199f3,/mnt/data/workspace_inventory/AeroCoreOS_Splash_Pack/aerocoreos_splash/assets/animated_logo.svg
AeroCoreOS_Splash_Pack,aerocoreos_splash/assets/bg_1024x768.png,bg_1024x768.png,.png,76781,f6c5816cbbf42d695124dcbf708ee8f0c36d2e8c,/mnt/data/workspace_inventory/AeroCoreOS_Splash_Pack/aerocoreos_splash/assets/bg_1024x768.png
AeroCoreOS_Splash_Pack,aerocoreos_splash/assets/bg_1920x1080.png,bg_1920x1080.png,.png,132457,fc92aab199a52f570dd816211d9f0c35ae8ef468,/mnt/data/workspace_inventory/AeroCoreOS_Splash_Pack/aerocoreos_splash/assets/bg_1920x1080.png
AeroCoreOS_Splash_Pack,aerocoreos_splash/assets/wordmark.svg,wordmark.svg,.svg,1013,240550969cc4469f6971bdc1a0bb707753ab4d5e,/mnt/data/workspace_inventory/AeroCoreOS_Splash_Pack/aerocoreos_splash/assets/wordmark.svg
AeroCoreOS_Splash_Pack,aerocoreos_splash/assets/wordmark_1600x400.png,wordmark_1600x400.png,.png,45779,b77a7978ec53835ba07a3db3aae7c3dbd54b8e52,/mnt/data/workspace_inventory/AeroCoreOS_Splash_Pack/aerocoreos_splash/assets/wordmark_1600x400.png
AeroCoreOS_Splash_Pack,aerocoreos_splash/index.html,index.html,.html,2188,c113d0d02c6c8c37e524f6e00e12a9640f6db1e9,/mnt/data/workspace_inventory/AeroCoreOS_Splash_Pack/aerocoreos_splash/index.html
NXCore-Control,NXCore-Control/.cursorrules,.cursorrules,,1251,3521cbaa47db9fee1cf4207c172343feabc98c83,/mnt/data/workspace_inventory/NXCore-Control/NXCore-Control/.cursorrules
NXCore-Control,NXCore-Control/.env.example,.env.example,.example,114,be643c71a56abde117402977ef8cd5db9a1077fe,/mnt/data/workspace_inventory/NXCore-Control/NXCore-Control/.env.example
NXCore-Control,NXCore-Control/README.md,README.md,.md,1240,d31f03c8daf8e90761a1f1f0baa34534c215eca3,/mnt/data/workspace_inventory/NXCore-Control/NXCore-Control/README.md
NXCore-Control,NXCore-Control/agent/cursor_agent.py,cursor_agent.py,.py,673,814337f57d589b965673421f636aa1697961716a,/mnt/data/workspace_inventory/NXCore-Control/NXCore-Control/agent/cursor_agent.py
