file_name,full_path,extension,parent_folder,size_bytes,size_mb,mime_type,file_hash,is_duplicate,duplicate_of
.cursorrules,D:\NeXuS\NXCore-Control\.cursorrules,,NXCore-Control,1251,0,unknown,4c3bef0b6264381ef594187ba9aff06afb53a70a843ac40eeb2fb6d87bb609a4,FALSE,
.env.example,D:\NeXuS\NXCore-Control\.env.example,.example,NXCore-Control,114,0,unknown,57e32d6306566b10759a05365130dac0cee80647f9a9faa7b6f3e70c407fcf1f,FALSE,
admin-nav.links.html,D:\NeXuS\NXCore-Control\admin-nav.links.html,.html,NXCore-Control,4473,0,text/html,4b3e437238a72da9381139f1e1fefca049ede361985b870bdb9020c147831596,FALSE,
animated_logo.svg,D:\NeXuS\NXCore-Control\aerocoreos_splash\assets\animated_logo.svg,.svg,assets,2860,0,image/svg+xml,6697384eec6dcddaf4538f20abe24fa8a4f7d02a8c530fc61d9fbafa2c8c6f8a,FALSE,
bg_1024x768.png,D:\NeXuS\NXCore-Control\aerocoreos_splash\assets\bg_1024x768.png,.png,assets,76781,0.07,image/png,9bcb2897bcf6c183d31fb5769b006cb910f3584b0c9614422edcfceb10a2a774,FALSE,
bg_1920x1080.png,D:\NeXuS\NXCore-Control\aerocoreos_splash\assets\bg_1920x1080.png,.png,assets,132457,0.13,image/png,531c9814b13345f2dde66c42e69e5e3d4c8f589d84b0a5c34f2151e0ad7ebbb1,FALSE,
wordmark.svg,D:\NeXuS\NXCore-Control\aerocoreos_splash\assets\wordmark.svg,.svg,assets,1013,0,image/svg+xml,dd474ac01435f2ff6041d31dbe20e18bbe954fdc24732481e9eb3de41060c5d8,FALSE,
wordmark_1600x400.png,D:\NeXuS\NXCore-Control\aerocoreos_splash\assets\wordmark_1600x400.png,.png,assets,45779,0.04,image/png,42d0b303f98ae747f109cfc745465f8a57b735b08bda217d2640f6059d0d5559,FALSE,
index.html,D:\NeXuS\NXCore-Control\aerocoreos_splash\index.html,.html,aerocoreos_splash,2188,0,text/html,1f97fc30727627eb15dd693c20fa9c9ebfbaed8ea2de5f0d9e48a497e7d2d611,FALSE,
cursor_agent.py,D:\NeXuS\NXCore-Control\agent\cursor_agent.py,.py,agent,673,0,text/x-python,78f0376bf3839c55b86dac11e2125cbb422bb84a6a146c3bf25bb65ff0a9c89f,FALSE,
nxcore-agent.rules,D:\NeXuS\NXCore-Control\agent\nxcore-agent.rules,.rules,agent,232,0,unknown,e34d9cf185c2b36dc4d81a1660d7f9c4b552f6a8dc6e9f9fb1acf6f40bf317ff,FALSE,
cursor-agent.service,D:\NeXuS\NXCore-Control\agent\systemd\cursor-agent.service,.service,systemd,267,0,unknown,0fb60a7190aed7b266d274432fd52e4134bdb643192c3254e62410657ee1d056,FALSE,
ai-core.sh,D:\NeXuS\NXCore-Control\ai\ai-core.sh,.sh,ai,287,0,application/x-sh,70c07c8448b2925a425200b7fc209a267fb538d654c86723ae69a6d9d9d87615,FALSE,
pull-models.sh,D:\NeXuS\NXCore-Control\ai\ollama\pull-models.sh,.sh,ollama,61,0,application/x-sh,d4a9400d0ab01c25071839fd02021caeb0a5e61671d99949bdf516969d9ff3a9,FALSE,
animated_logo.svg,D:\NeXuS\NXCore-Control\all.in.one.installer\assets\aerocoreos_splash\assets\animated_logo.svg,.svg,assets,2860,0,image/svg+xml,6697384eec6dcddaf4538f20abe24fa8a4f7d02a8c530fc61d9fbafa2c8c6f8a,TRUE,D:\NeXuS\NXCore-Control\aerocoreos_splash\assets\animated_logo.svg
bg_1024x768.png,D:\NeXuS\NXCore-Control\all.in.one.installer\assets\aerocoreos_splash\assets\bg_1024x768.png,.png,assets,76781,0.07,image/png,9bcb2897bcf6c183d31fb5769b006cb910f3584b0c9614422edcfceb10a2a774,TRUE,D:\NeXuS\NXCore-Control\aerocoreos_splash\assets\bg_1024x768.png
bg_1920x1080.png,D:\NeXuS\NXCore-Control\all.in.one.installer\assets\aerocoreos_splash\assets\bg_1920x1080.png,.png,assets,132457,0.13,image/png,531c9814b13345f2dde66c42e69e5e3d4c8f589d84b0a5c34f2151e0ad7ebbb1,TRUE,D:\NeXuS\NXCore-Control\aerocoreos_splash\assets\bg_1920x1080.png
wordmark.svg,D:\NeXuS\NXCore-Control\all.in.one.installer\assets\aerocoreos_splash\assets\wordmark.svg,.svg,assets,1013,0,image/svg+xml,dd474ac01435f2ff6041d31dbe20e18bbe954fdc24732481e9eb3de41060c5d8,TRUE,D:\NeXuS\NXCore-Control\aerocoreos_splash\assets\wordmark.svg
wordmark_1600x400.png,D:\NeXuS\NXCore-Control\all.in.one.installer\assets\aerocoreos_splash\assets\wordmark_1600x400.png,.png,assets,45779,0.04,image/png,42d0b303f98ae747f109cfc745465f8a57b735b08bda217d2640f6059d0d5559,TRUE,D:\NeXuS\NXCore-Control\aerocoreos_splash\assets\wordmark_1600x400.png
