file_name,full_path,extension,parent_folder,root_folder,size_bytes,size_mb,mime_type,created,last_modified,last_accessed,host,username,os,os_version,scan_timestamp,file_hash,is_duplicate,duplicate_of,artist,album,title,track_number,year,genre,length_seconds,bitrate,sample_rate,channels,responsible_party,subrole,notes
.cursorrules,D:\NeXuS\NXCore-Control\.cursorrules,,NXCore-Control,NXCore-Control,1816,0.00,unknown,2025-10-11T20:14:32,2025-10-16T10:54:02,2025-10-16T10:54:02,Envy2-0,trcam,Windows,10.0.26100,2025-10-16T11:02:30.072452,2039746307ea3c7a3e97a2857b8b0d6cbc088290810d040f07521a18cd7d7ff5,false,,,,,,,,,,,,,,
cursor.json,D:\NeXuS\NXCore-Control\cursor.json,.json,NXCore-Control,NXCore-Control,2266,0.00,application/json,2025-10-11T20:14:32,2025-10-13T15:04:20,2025-10-13T15:04:20,Envy2-0,trcam,Windows,10.0.26100,2025-10-16T11:02:30.072452,d64c5824b0b7042fdd92f2d137b7317cdd2acae827646f0037e2d862047f1c0d,false,,,,,,,,,,,,,,
.env.example,D:\NeXuS\NXCore-Control\.env.example,.example,NXCore-Control,NXCore-Control,114,0.00,unknown,2025-10-11T20:14:32,2025-10-11T20:14:32,2025-10-11T20:14:32,Envy2-0,trcam,Windows,10.0.26100,2025-10-16T11:02:30.072452,57e32d6306566b10759a05365130dac0cee80647f9a9faa7b6f3e70c407fcf1f,false,,,,,,,,,,,,,,
admin-nav.links.html,D:\NeXuS\NXCore-Control\admin-nav.links.html,.html,NXCore-Control,NXCore-Control,4473,0.00,text/html,2025-10-11T23:23:34.030000,2025-10-11T23:25:18,2025-10-11T23:25:18,Envy2-0,trcam,Windows,10.0.26100,2025-10-16T11:02:30.072452,4b3e437238a72da9381139f1e1fefca049ede361985b870bdb9020c147831596,false,,,,,,,,,,,,,,
_inventory_20251013_045941.csv,D:\NeXuS\NXCore-Control\_inventory_20251013_045941.csv,.csv,NXCore-Control,NXCore-Control,36021,0.03,application/vnd.ms-excel,2025-10-13T04:59:41.300000,2025-10-13T05:01:48,2025-10-13T05:01:48,Envy2-0,trcam,Windows,10.0.26100,2025-10-16T11:02:30.072452,38f935f5893ac62eb4cf2486e9c64c3ea9af041d27fa940267b9abf14a93193e,false,,,,,,,,,,,,,,
Terminal_hell.docx,D:\NeXuS\NXCore-Control\Terminal_hell.docx,.docx,NXCore-Control,NXCore-Control,85441,0.08,application/vnd.openxmlformats-officedocument.wordprocessingml.document,2025-10-13T12:23:05.970000,2025-10-13T12:22:22,2025-10-13T12:23:04,Envy2-0,trcam,Windows,10.0.26100,2025-10-16T11:02:30.072452,e5722bb6b38cb36ec43112d4d9b0f6d04aecdd247dc7b63467fd238fc09bb0f7,false,,,,,,,,,,,,,,
PS CUserstrcam scp build filesmedia.txt,D:\NeXuS\NXCore-Control\PS CUserstrcam scp build filesmedia.txt,.txt,NXCore-Control,NXCore-Control,251020,0.24,text/plain,2025-10-13T12:24:53.310000,2025-10-13T12:24:56,2025-10-13T12:24:56,Envy2-0,trcam,Windows,10.0.26100,2025-10-16T11:02:30.072452,baf2cef7b2aa1131466717b5f6eb92ada0807f6edab8e523c75da5c19b7c103b,false,,,,,,,,,,,,,,
aerovista-landing.html,D:\NeXuS\NXCore-Control\aerovista-landing.html,.html,NXCore-Control,NXCore-Control,16841,0.02,text/html,2025-10-13T13:20:02.810000,2025-10-16T05:35:50,2025-10-16T05:35:50,Envy2-0,trcam,Windows,10.0.26100,2025-10-16T11:02:30.072452,2e3c6938afd01bc65b09b482e7f3173db9dec4cea266b146c7025da5973636a1,false,,,,,,,,,,,,,,
.gitignore,D:\NeXuS\NXCore-Control\.gitignore,,NXCore-Control,NXCore-Control,825,0.00,unknown,2025-10-13T14:13:56.050000,2025-10-13T14:14:22,2025-10-13T14:14:22,Envy2-0,trcam,Windows,10.0.26100,2025-10-16T11:02:30.072452,855e232b5d261af5dc54ca4d7487c0685c621a9590c5f7864aa684086eef73ec,false,,,,,,,,,,,,,,
ssh-nxcore.bat,D:\NeXuS\NXCore-Control\scripts\ssh-nxcore.bat,.bat,scripts,NXCore-Control,66,0.00,text/plain,2025-10-11T20:14:32,2025-10-11T20:14:32,2025-10-11T20:14:32,Envy2-0,trcam,Windows,10.0.26100,2025-10-16T11:02:30.072452,42dd552c575b8b8ca538507db2644ae038e66170ff30205fe402ad3345ac853b,false,,,,,,,,,,,,,,
scp-to-nxcore.bat,D:\NeXuS\NXCore-Control\scripts\scp-to-nxcore.bat,.bat,scripts,NXCore-Control,225,0.00,text/plain,2025-10-11T20:14:32,2025-10-11T20:14:32,2025-10-11T20:14:32,Envy2-0,trcam,Windows,10.0.26100,2025-10-16T11:02:30.072452,5653b1b7a4dcef57af2ed559104fb9752ad5bd20750f469dc0c18431004d5cad,false,,,,,,,,,,,,,,
clean-wipe-nxcore.sh,D:\NeXuS\NXCore-Control\scripts\clean-wipe-nxcore.sh,.sh,scripts,NXCore-Control,2270,0.00,application/x-sh,2025-10-13T12:42:54.430000,2025-10-13T12:45:26,2025-10-13T12:45:26,Envy2-0,trcam,Windows,10.0.26100,2025-10-16T11:02:30.072452,25c3864eef72ed161094ece3ec2ee6aae9b67b80bf95f9bb5308845f64b8c722,false,,,,,,,,,,,,,,
wipe-nxcore.sh,D:\NeXuS\NXCore-Control\scripts\wipe-nxcore.sh,.sh,scripts,NXCore-Control,3584,0.00,application/x-sh,2025-10-13T14:59:50.660000,2025-10-13T15:04:20,2025-10-13T15:04:20,Envy2-0,trcam,Windows,10.0.26100,2025-10-16T11:02:30.072452,cee5113731e4acddc5a5de53a2246ade7fed28d0ab76ae8bc6b1b4cecff56f2d,false,,,,,,,,,,,,,,
backup-current-state.sh,D:\NeXuS\NXCore-Control\scripts\backup-current-state.sh,.sh,scripts,NXCore-Control,3830,0.00,application/x-sh,2025-10-14T15:07:36.760000,2025-10-14T19:45:58,2025-10-14T19:45:58,Envy2-0,trcam,Windows,10.0.26100,2025-10-16T11:02:30.072452,904fdd954162c4b1e7a78e243182a65c2cdaee8ffe28ddea9e3ca691800d3dc6,false,,,,,,,,,,,,,,
